ID,Date,DBA,Address,Latitude,Longitude,FacilityType,InspType,Risk,Results,Violations
2365440,03/06/2020,TARGET STORE T2781,1101 W JACKSON BLVD,41.877720207180666,-87.6546900011066,Grocery Store,Complaint,Risk 2 (Medium),Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED THE LOWER WALL BASE TILE AND WALL PANEL BY THE PIZZA OVEN IN POOR REPAIR; INSTRUCTED TO REPAIR WHERE NEEDED. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN THE FLOORS IN STORAGE AREAS AND FOOD PREP AREAS."
2365442,03/06/2020,LADY GREGORY'S OLD TOWN,1525 N WELLS ST,41.90991644409767,-87.6345245683107,Restaurant,Canvass,Risk 1 (High),No Entry,NA
2365431,03/06/2020,CAFE SUSHI-WELLS,1342 N WELLS ST,41.906926209071756,-87.63472978194264,Restaurant,Canvass Re-Inspection,Risk 1 (High),Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNS OR POSTERS NEAR HAND WASHING SINK IN FRONT SUSHI BAR AREA. MUST PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RUSTY STORAGE SHELVING IN REAR STORAGE AREA. MUST REPAINT OR REPLACE SHELVING."
2365432,03/06/2020,THE DINING ROOM AT KENDALL COLLEGE AT NATIONAL LOU,18 S MICHIGAN AVE,41.88165873896031,-87.62450009856119,Restaurant,License,Risk 1 (High),Pass,NA
2365423,03/06/2020,HALAL BURGER,6234 N CALIFORNIA AVE,41.99501027704687,-87.69969962161599,Restaurant,Canvass,Risk 1 (High),Out of Business,NA
2365409,03/06/2020,THE MECCA RESTAURANT,6666 N NORTHWEST HWY,42.00200031999326,-87.81515201431463,Restaurant,Canvass,Risk 1 (High),No Entry,NA
2365391,03/06/2020,CHE CHE PITA,5815 W MADISON ST,41.88004636548346,-87.77041143537559,Restaurant,Complaint,Risk 1 (High),Pass,NA
2365379,03/06/2020,PRET A MANGER,190 W MADISON ST,41.88205759473728,-87.63353326572278,Restaurant,Canvass,Risk 1 (High),Pass,NA
2365371,03/06/2020,SUBWAY,2008 N HALSTED ST,41.91849213778706,-87.64866909416301,Restaurant,Canvass,Risk 1 (High),Pass w/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: PROCEDURE/PLAN ON SITE,HOWEVER KIT NOT COMPLETE, MISSING THE CORRECTED SANITIZER SOLUTION EFFECTIVE AGAINST NOROVIROUS. MUST MAINTAIN APPROPRIATE SUPPLIES ON SITE. NEW INFORMATION GIVEN.  PRIORITY FOUNDATION VIOLATION 7-38-005.NO CITATION ISSUED | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NO SOAP PROVIDED AT STAFF WASHROOM. UPON MY REQUEST MANAGER PROVIDED SOAP AT SAID SINK.SOAP MUST BE PROVIDED AT ALL TIMES FOR PROPER HAND WASH PRIORITY FOUNDATION VIOLATION: 7-38-030(C),CITATION ISSUED | 16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: FOUND BROKEN MECHANICAL WALL DISPENSER FOR SANITIZER SOLUTION  AT THREE COMPARTMENT SINK, NOT DISPENSING QUATERNARY AMMONIUM AT THIRD COMPARTMENT SINK, WHEN EMPLOYEE PUSHES THE BUTTON TO RELEASE SOLUTION,  NO SOLUTION COMES OUT OF THE HOSE ATTACHED AT BOTTLE AND THROUGH THE UNIT,ELSE EMPLOYEE CHANGED GALLON WITH A NEW,HOWEVER  WITH NEGATIVE RESULT. MUST REPAIR CAUSE OF THE UNIT.REPLACE. PRESENTLY 0ppm SOLUTION AT SET UP THREE COMPARTMENT SINK. INSTRUCTED TO USE UNIT MANUALLY. 'TAGGED UNIT' HELD FOR INSPECTION. DO NOT USE PRIORITY VIOLATION:7-38-025,CITATION ISSUED | 21. PROPER HOT HOLDING TEMPERATURES - Comments: FOUND HOT SOUP AT IMPROPER TEMPERATURE STORED INSIDE HOT HOLDING UNIT: CREAMY BROCCOLI SOUP AT TEMP OF 113.4F AND CHICKEN SOUP AT TEMP OF 97.7F. PRODUCTS DISCARDED BY MANAGER. HOT FOOD MUST MAINTAIN TEMP OF 135F AND ABOVE. PRIORITY VIOLATION:7-38-005.' CONSOLIDATE WITH VIOLATION #22' | 22. PROPER COLD HOLDING TEMPERATURES - Comments: FOUND  3LB OF SLICED HAM AT TEMP OF 44.4F TO 45.6F; 4.25LB OF SLICED TURKEY BREAST AT TEMP OF 44F TO 46.1F. BOTH PRODUCTS WERE STORED AT DISPLAY COOLER AT TRAYLINE. COLD PRODUCTS MUST MAINTAIN TEMP OF 41F AND BELOW. FOOD DISCARDED AND DENATURED BY THE MANAGER PRIORITY VIOLATION:7-38-005,CITATION ISSUED | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: FOUND TWO DOOR REACH-IN COOLER UNDER THE FRONT COUNTER AT AIR TEMP OF 60F TO 66F. BUSINESS THERMOMETERS SHOWED 60F. TCS FOOD WERE STORED INSIDE THE UNIT: TCS FOOD: SLICED TOMATOES,SHREDDED CHEESE,ETC. WITH ADEQUATE TEMPERATURE OF 39.6F TO 40.5F. MANAGER HAD PREPARED TCS EARLIER AND STORED INSIDE THE UNIT FOR SHORT PERIOD OF TIME. FOOD WAS REMOVED AND RELOCATED TO WALK-IN COOLER. UNIT IN QUESTION WAS TAGGED 'HELD FOR INSPECTION', DO NOT USE. PRIORITY VIOLATION:7-38-005,CITATION ISSUED   BY 11:00am TWO DOOR COOLER MAINTAIN AIR TEMP OF 39F TO 40.2F. INSTRUCTED TO CONTINUE TO MONITOR UNIT. UN-TAGGED UNIT | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY - Comments: NO SPLASH GUARD PROVIDED AT FRONT HANDWASHING SINK BETWEEN THE SINK AND COUNTER PREP TOP(RIGHT SIDE).SURFACE SMOOTH AND CLEANABLE | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: GRIME/BLACK SLIME AT  INTERIOR OF TOILET BOWL INSIDE THE STAFF WASHROOM,INSTRUCTED TO CLEAN AND MAINTAIN  BY THE TIME I FINISHED REPORT EMPLOYEE CLEANED THE TOILET IN QUESTION | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: UNABLE  SEE  IF BACK FLOW PREVENTION DEVICE IS INSTALLED AT MOP SINK. MUST INSTALL SO BACK FLOW PREVENTION DEVICE MAY BE LOCATED TO BE SERVICED AND MAINTAIN, OR KNOWN THE LOCATION."
2365374,03/06/2020,GORDILLAS,3759 W 26TH ST,41.844207794964916,-87.71961192610661,Restaurant,Canvass,Risk 1 (High),Out of Business,NA
2365355,03/05/2020,BEGGARS PIZZA,8100 S STONY ISLAND AVE,41.7477492117195,-87.58603741639237,Restaurant,Canvass Re-Inspection,Risk 1 (High),Pass,58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED THE PERSON IN CHARGE WITHOUT AN ALLERGEN TRAINING CERTIFICATE. INSTRUCTED ANY PERSONS WITH THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE TO COMPLY WITH COMPLETION OF TRAINING. MUST PROVIDE DOCUMENTATION.
